
@contest "[USM Q] Fase 1 - Ser o no ser una fase"
@contlen 300
@problems 10
@teams 21
@submissions 207
@p A,Dates,20,0
@p B,Haughty Cuisine,20,0
@p C,Kleptocrat,20,0
@p D,This Takes the Cake,20,0
@p E,Encoded Message,20,0
@p F,The Power of the Dark Side - 2,20,0
@p G,Table,20,0
@p H,Noonerized Spumbers,20,0
@p I,GPS I Love You,20,0
@p J,Bidirectional Code,20,0
@s 5,G,6,16031,WA
@s 5,G,5,16090,WA
@s 16,A,2,16208,WA
@s 3,J,1,16455,WA
@s 8,G,3,16473,WA
@s 0,J,1,16666,WA
@s 3,J,2,16725,WA
@s 2,G,4,16767,WA
@s 2,G,5,16832,WA
@s 5,G,4,16984,WA
@s 10,G,6,17005,WA
@s 10,G,7,17074,WA
@s 8,G,4,17124,OK
@s 0,J,2,17349,WA
@s 5,G,3,17356,WA
@s 17,J,2,17386,WA
@s 0,J,3,17428,WA
@s 5,G,2,17437,WA
@s 3,J,3,17446,WA
@s 17,J,3,17451,WA
@s 5,G,1,17497,WA
@s 14,A,2,17591,CE
@s 13,B,4,17594,OK
@s 14,A,3,17626,WA
@s 3,J,4,17639,WA
@s 2,G,6,17668,WA
@s 14,A,4,17681,WA
@s 1,J,4,17690,WA
@s 11,G,8,17739,WA
@s 19,A,7,17759,WA
@s 11,G,9,17794,WA
@s 17,J,4,17859,WA
@s 1,J,5,17939,WA
@s 17,J,5,17951,WA
