
@contest "[UTFSM Q 2025] Fase 1"
@s 6,F,1,2402,OK
@s 17,D,1,2409,OK
@s 11,G,1,2528,RJ
@s 2,I,1,2530,OK
@s 3,G,1,2636,OK
@s 24,E,1,2643,RJ
@s 21,E,1,2672,RJ
@s 10,G,1,2679,OK
@s 12,G,1,2684,OK
@s 13,G,1,2703,OK
@s 21,E,2,2792,RJ
@s 8,H,1,2868,OK
@s 9,H,1,2875,RJ
@s 21,E,3,2919,OK
@s 23,D,1,2945,OK
@s 17,E,1,2959,OK
@s 2,J,1,2985,OK
@s 7,J,1,3034,OK
@s 12,E,1,3055,OK
@s 3,H,1,3093,OK
@s 4,J,1,3106,OK
@s 25,J,1,3126,OK
@s 20,F,1,3158,OK
@s 14,G,1,3189,OK
@s 9,H,2,3195,OK
@s 11,G,2,3271,OK
@s 10,H,1,3286,OK
@s 5,G,1,3487,OK
@s 15,G,1,3518,RJ
@s 11,H,1,3562,OK
@s 14,H,1,3603,RJ
@s 23,E,1,3641,RJ
@s 6,H,1,3648,OK
@s 1,J,2,3651,OK
@s 23,E,2,3707,OK
@s 15,G,2,3726,RJ
@s 12,H,1,3793,RJ
@s 3,I,1,3841,RJ
@s 5,H,1,3897,RJ
@s 14,H,2,3979,OK
@s 6,I,1,4066,RJ
@s 3,I,2,4073,RJ
@s 12,H,2,4090,OK
@s 3,I,3,4102,OK
@s 17,F,1,4120,OK
@s 1,K,1,4146,RJ
@s 9,J,1,4293,OK
@s 8,J,1,4332,OK
@s 4,H,1,4393,OK
@s 6,I,2,4407,RJ
@s 10,J,1,4537,OK
@s 14,I,1,4610,RJ
@s 3,J,1,4631,OK
@s 22,E,3,4673,RJ
@s 22,E,4,4698,RJ
@s 5,H,2,4720,RJ
@s 1,K,2,4725,OK
@s 15,G,3,4726,OK
@s 22,E,5,4762,OK
@s 13,H,1,4988,RJ
@s 22,D,1,4989,OK
@s 3,K,1,5010,RJ
@s 5,H,3,5027,OK
@s 18,H,1,5116,OK
@s 11,J,1,5163,RJ
@s 14,I,2,5172,RJ
@s 22,C,1,5198,RJ
@s 9,I,1,5236,RJ
@s 9,I,2,5364,RJ
@s 22,N,1,5392,RJ
@s 11,J,2,5396,RJ
@s 11,J,3,5426,OK
@s 14,I,3,5445,RJ
@s 24,F,1,5463,RJ
@s 25,L,1,5469,OK
@s 13,J,1,5543,OK
@s 14,I,4,5600,RJ
@s 14,I,5,5638,RJ
@s 5,J,1,5678,OK
@s 3,K,2,5684,OK
@s 12,J,1,5749,OK
@s 18,C,4,5776,RJ
@s 18,C,5,5828,OK
@s 17,G,1,5841,OK
@s 6,G,1,5923,OK
@s 7,L,1,5989,RJ
@s 2,K,1,6004,RJ
@s 11,I,1,6031,RJ
@s 11,I,2,6054,RJ
@s 13,H,2,6068,OK
@s 5,I,1,6073,RJ
@s 4,I,1,6161,RJ
@s 10,N,1,6178,RJ
@s 4,I,2,6202,RJ
@s 20,H,1,6203,RJ
@s 14,J,1,6230,RJ
@s 22,C,2,6261,OK
@s 15,H,1,6269,RJ
@s 14,J,2,6324,OK
@s 2,K,2,6359,OK
@s 15,H,2,6368,OK
@s 24,E,2,6447,RJ
@s 13,I,1,6504,RJ
@s 24,E,3,6508,CE
@s 24,E,4,6609,OK
@s 6,J,1,6682,OK
@s 25,K,1,6712,RJ
@s 17,H,1,6721,OK
@s 21,F,1,6914,OK
@s 12,K,1,6916,RJ
@s 25,K,2,7147,RJ
@s 12,K,2,7215,RJ
@s 3,M,1,7330,RJ
@s 13,I,2,7338,RJ
@s 20,H,2,7338,RJ
@s 22,F,1,7352,CE
@s 22,F,2,7414,OK
@s 15,J,1,7451,OK
@s 25,K,3,7466,OK
@s 1,L,1,7486,RJ
@s 3,M,2,7511,RJ
@s 18,F,1,7663,OK
@s 1,L,2,7761,RJ
@s 22,H,1,7780,OK
@s 13,I,3,7916,RJ
@s 1,L,3,8223,OK
@s 17,J,1,8326,RJ
@s 6,I,3,8332,RJ
@s 11,N,1,8363,RJ
@s 5,I,2,8421,OK
@s 15,I,1,8608,RJ
@s 20,J,1,8676,RJ
@s 20,J,2,8692,OK
@s 13,I,4,8827,RJ
@s 13,I,5,8860,RJ
@s 20,H,3,8935,RJ
@s 25,N,1,8964,RJ
@s 6,I,4,9054,RJ
@s 25,N,2,9192,RJ
@s 12,I,1,9384,RJ
@s 6,I,5,9535,OK
@s 21,J,1,9540,OK
@s 3,M,3,9563,RJ
@s 18,I,1,9702,OK
@s 25,N,3,9769,RJ
@s 4,I,3,9779,RJ
@s 12,I,2,9861,RJ
@s 20,H,4,10200,RJ
@s 2,N,1,10237,CE
@s 2,N,2,10252,RJ
@s 15,I,2,10364,RJ
@s 4,I,4,10416,OK
@s 7,L,2,10441,RJ
@s 20,H,5,10479,RJ
@s 25,N,4,10489,RJ
@s 9,I,3,10497,RJ
@s 9,I,4,10521,RJ
@s 13,I,6,10529,RJ
@s 24,I,1,10568,RJ
@s 2,N,3,10688,RJ
@s 13,I,7,10712,RJ
@s 2,N,4,10735,RJ
@s 7,L,3,10738,RJ
@s 15,I,3,10744,RJ
@s 25,N,5,10752,RJ
